Frequency (GHz)	Maximum MagE (V/m)	Maximum MagE at phase (DEG)	Minimum MagE (V/m)	0 deg Max Mag_E (V/m)	0 deg Min MagE (V/m)	
0.9	2252.479	12	0.352	2217.671	16.151	
0.95	2697.487	13	0.548	2642.19	19.759	
1	3338.24	15	0.764	3247.997	24.94	
1.05	4328.51	17	0.765	4170.819	32.849	
1.1	6029.066	20	0.99	5716.306	46.061	
1.15	9508.605	24	0.58	8707.813	71.468	
1.18	13947.472	30	2.399	12129.8	100.379	
1.2	19535.486	37	2.066	15653.257	130.115	
1.22	30201.081	51	0.548	19026.113	158.846	
1.23	38763.089	64	5.965	16951.448	142.032	
1.24	48199.729	84	1.641	4799.32	41.342	
1.245	51292.137	97	3.792	6319.505	51.87	
1.246	51633.457	100	1639	8472.209	72.125	
1.248	51991.809	105	2.351	13593.016	112.612	
1.25	51904.821	111	5.483	18217.585	151.283	
1.255	49939.844	123	1.931	27486.478	229	
1.26	46285.787	135	4.757	32504.118	271.339	
1.265	42040.683	144	3.099	33951.627	283.871	
1.27	37930.853	151	3.676	33270.731	278.587	
1.275	34308.094	157	3.872	31614.606	265.013	
1.28	31195.846	162	0.567	29663.72	248.679	
1.3	22885.669	175	184.113	22784.818	285.464	
1.32	18536.331	2	2.457	18520.386	131.795	
1.34	16116.552	9	0.405	15920.969	94.654	
1.36	14719.817	16	1.3	14154.929	67.292	
1.38	13819.323	25	1.739	12557.107	48.676	
1.4	12910.635	36	1.329	10432.14	38.624	
1.42	11476.802	50	2.105	7423.688	27.043	
1.44	9435.602	63	2.353	4305.528	10.509	
1.46	7313.611	73	0.733	2211.695	14.069	
1.48	5580.191	78	2.591	1310.334	5.598	
1.5	4321.11	80	0.926	962.229	4.934	
1.55	2571.084	78	0.984	799.526	6.397	
1.6	1748.83	70	0.654	721.856	16.123	
1.65	1201.677	57	0.365	651.858	34.422	
1.7	1016.345	?	2.904	798.343	63.018	
1.75	1742.186	?	73.239	1678.924	121.31	
1.76	3305.341	?	38.825	949.876	137.15	
1.77	7126.755	?	24.717	1108.864	35.438	
1.775	10588.647	106	16.99	3255.128	243.014	
1.78	14879.512	130	1.121	9680.197	809.249	
1.785	16536.425	161	11.139	15651.677	1299.039	
1.79	14375.797	6	20.058	14312.751	1164.062	
1.8	9867.276	29	2.573	8729.577	646.646	
1.82	6395.174	42	7.978	4869.174	322.31	
1.85	4847.328	50	4.218	3391.451	200.001	
1.9	4193.777	?	3.782	2753.877	142.607	
1.95	4346.676	?	1.073	2695.615	124.689	
2	5441.254	?	1.937	3017.371	113.37	
