Frequency (GHz), Maximum MagE 3mils (V/m), Maximum MagE 6mils (V/m)
0.900, 2416.478, 2135.597
0.950, 2763.908, 2424.429
1.000, 3223.963, 2801.321
1.050, 3858.446, 3311.411
1.100, 4781.442, 4034.678
1.150, 6230.083, 5128.952
1.200, 8775.789, 6945.963
1.250, 14155.732, 10430.578
1.280, 21133.173, 14445.659
1.300, 29524.149, 18890.598
1.310, 35361.931, 22004.064
1.315, 38589.615, 23853.817
1.320, 41807.339, 25922.622
1.323, 43610.683, 27270.764
1.326, 45217.677, 28699.490
1.330, 46900.681, 30714.134
1.335, 48010.631, 33363.533
1.338, 48072.343, 34978.801
1.340, 47862.054, 36043.933
1.343, 47199.897, 37588.544
1.346, 46183.051, 39020.732
1.350, 44417.809, 40645.402
1.355, 41825.242, 42019.770
1.358, 40189.753, 42414.174
1.360, 39099.362, 42484.162
1.370, 33995.888, 40734.437
1.380, 29858.503, 36824.888
1.400, 24022.823, 28910.264
1.450, 16954.540, 18675.122
1.500, 12259.075, 13444.251
1.550, 6398.585, 7716.858
1.600, 3352.284, 3695.621
1.650, 1581.274, 1632.817
1.700, 1476.311, 2443.835
1.750, 1217.375, 985.023
1.800, 4110.886, 6587.324
